hhvehs,hh_county,hhincome_thousands,hhexpfac
0.0,King,-10000.0,6.0
0.0,King,0.0,14098.0
0.0,King,10000.0,27365.0
0.0,King,20000.0,18817.0
0.0,King,30000.0,14928.0
0.0,King,40000.0,17099.0
0.0,King,50000.0,9463.0
0.0,King,60000.0,7463.0
0.0,King,70000.0,5174.0
0.0,King,80000.0,4148.0
0.0,King,90000.0,2934.0
0.0,King,100000.0,3028.0
0.0,King,110000.0,2316.0
0.0,King,120000.0,2657.0
0.0,King,130000.0,1434.0
0.0,King,140000.0,1689.0
0.0,King,150000.0,1091.0
0.0,King,160000.0,1087.0
0.0,King,170000.0,569.0
0.0,King,180000.0,589.0
0.0,King,190000.0,287.0
0.0,King,200000.0,583.0
0.0,King,210000.0,423.0
0.0,King,220000.0,462.0
0.0,King,230000.0,244.0
0.0,King,240000.0,397.0
0.0,King,250000.0,266.0
0.0,King,260000.0,180.0
0.0,King,270000.0,137.0
0.0,King,280000.0,130.0
0.0,King,290000.0,98.0
0.0,King,300000.0,89.0
0.0,King,310000.0,29.0
0.0,King,320000.0,39.0
0.0,King,330000.0,40.0
0.0,King,340000.0,29.0
0.0,King,350000.0,55.0
0.0,King,360000.0,32.0
0.0,King,370000.0,28.0
0.0,King,380000.0,33.0
0.0,King,390000.0,62.0
0.0,King,400000.0,32.0
0.0,King,410000.0,64.0
0.0,King,420000.0,93.0
0.0,King,430000.0,24.0
0.0,King,440000.0,189.0
0.0,King,450000.0,25.0
0.0,King,460000.0,34.0
0.0,King,470000.0,309.0
0.0,King,480000.0,94.0
0.0,King,490000.0,51.0
0.0,King,500000.0,38.0
0.0,King,510000.0,21.0
0.0,King,520000.0,27.0
0.0,King,530000.0,21.0
0.0,King,540000.0,17.0
0.0,King,550000.0,11.0
0.0,King,560000.0,23.0
0.0,King,570000.0,6.0
0.0,King,580000.0,14.0
0.0,King,590000.0,3.0
0.0,King,600000.0,12.0
0.0,King,610000.0,5.0
0.0,King,620000.0,12.0
0.0,King,630000.0,15.0
0.0,King,640000.0,2.0
0.0,King,670000.0,2.0
0.0,King,680000.0,20.0
0.0,King,690000.0,7.0
0.0,King,700000.0,9.0
0.0,King,710000.0,6.0
0.0,King,720000.0,10.0
0.0,King,750000.0,4.0
0.0,King,770000.0,3.0
0.0,King,790000.0,1.0
0.0,King,800000.0,2.0
0.0,King,820000.0,3.0
0.0,King,830000.0,1.0
0.0,King,840000.0,4.0
0.0,King,850000.0,1.0
0.0,King,880000.0,5.0
0.0,King,890000.0,1.0
0.0,King,930000.0,1.0
0.0,King,940000.0,6.0
0.0,King,950000.0,2.0
0.0,King,960000.0,5.0
0.0,Kitsap,-10000.0,3.0
0.0,Kitsap,0.0,765.0
0.0,Kitsap,10000.0,2196.0
0.0,Kitsap,20000.0,1193.0
0.0,Kitsap,30000.0,820.0
