date,geography,variable,estimate,geography_type,share,metric,grouping,moe,share_moe,estimate_moe
2020-01-01,King,BEV (Battery Electric Vehicle),1201,County,0.0817562968005446,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,King,HEV (Hybrid Electric Vehicle),902,County,0.06140231449965963,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,King,ICE (Internal Combustion Engine),12486,County,0.8499659632402995,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,King,PHEV (Plug-in Hybrid Electric Vehicle),101,County,0.006875425459496256,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Kitsap,BEV (Battery Electric Vehicle),55,County,0.03534704370179949,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Kitsap,HEV (Hybrid Electric Vehicle),70,County,0.04498714652956298,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Kitsap,ICE (Internal Combustion Engine),1424,County,0.9151670951156813,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Kitsap,PHEV (Plug-in Hybrid Electric Vehicle),7,County,0.004498714652956298,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Pierce,BEV (Battery Electric Vehicle),100,County,0.018846588767433094,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Pierce,HEV (Hybrid Electric Vehicle),214,County,0.04033169996230682,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Pierce,ICE (Internal Combustion Engine),4965,County,0.9357331323030531,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Pierce,PHEV (Plug-in Hybrid Electric Vehicle),27,County,0.005088578967206936,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Snohomish,BEV (Battery Electric Vehicle),223,County,0.04917309812568908,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Snohomish,HEV (Hybrid Electric Vehicle),227,County,0.050055126791620726,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Snohomish,ICE (Internal Combustion Engine),4064,County,0.896141124586549,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Snohomish,PHEV (Plug-in Hybrid Electric Vehicle),21,County,0.004630650496141125,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Region,BEV (Battery Electric Vehicle),1579,PSRC Region,0.06052823245294591,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Region,HEV (Hybrid Electric Vehicle),1413,PSRC Region,0.05416490972515046,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Region,ICE (Internal Combustion Engine),22939,PSRC Region,0.8793268677885537,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,Region,PHEV (Plug-in Hybrid Electric Vehicle),156,PSRC Region,0.0059799900333499445,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98001,BEV (Battery Electric Vehicle),10,Zipcode,0.044444444444444446,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98001,HEV (Hybrid Electric Vehicle),16,Zipcode,0.07111111111111111,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98001,ICE (Internal Combustion Engine),199,Zipcode,0.8844444444444445,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98002,BEV (Battery Electric Vehicle),4,Zipcode,0.02197802197802198,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98002,HEV (Hybrid Electric Vehicle),9,Zipcode,0.04945054945054945,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98002,ICE (Internal Combustion Engine),168,Zipcode,0.9230769230769231,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98002,PHEV (Plug-in Hybrid Electric Vehicle),1,Zipcode,0.005494505494505495,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98003,BEV (Battery Electric Vehicle),4,Zipcode,0.015444015444015444,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98003,HEV (Hybrid Electric Vehicle),21,Zipcode,0.08108108108108109,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98003,ICE (Internal Combustion Engine),233,Zipcode,0.8996138996138996,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98003,PHEV (Plug-in Hybrid Electric Vehicle),1,Zipcode,0.003861003861003861,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98004,BEV (Battery Electric Vehicle),45,Zipcode,0.10465116279069768,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98004,HEV (Hybrid Electric Vehicle),20,Zipcode,0.046511627906976744,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98004,ICE (Internal Combustion Engine),357,Zipcode,0.8302325581395349,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98004,PHEV (Plug-in Hybrid Electric Vehicle),8,Zipcode,0.018604651162790697,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98005,BEV (Battery Electric Vehicle),10,Zipcode,0.045662100456621,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98005,HEV (Hybrid Electric Vehicle),21,Zipcode,0.0958904109589041,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98005,ICE (Internal Combustion Engine),185,Zipcode,0.8447488584474886,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98005,PHEV (Plug-in Hybrid Electric Vehicle),3,Zipcode,0.0136986301369863,New Vehicle Registrations,All,NA,NA,NA
2020-01-01,98006,BEV (Battery Electric Vehicle),32,Zipcode,0.11721611721611722,New Vehicle Registrations,All,NA,NA,NA
