date,data_year,geography,variable,estimate,geography_type,share,moe,share_moe,grouping,metric
12/1/2016,2016,Region,All Transit Modes,222592561,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2017,2017,Region,All Transit Modes,227475924,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2018,2018,Region,All Transit Modes,230538085,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2019,2019,Region,All Transit Modes,246308000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2020,2020,Region,All Transit Modes,264473000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2021,2021,Region,All Transit Modes,282638000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2022,2022,Region,All Transit Modes,300803000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2023,2023,Region,All Transit Modes,318968000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2024,2024,Region,All Transit Modes,337133000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2025,2025,Region,All Transit Modes,355298000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2026,2026,Region,All Transit Modes,373463000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2027,2027,Region,All Transit Modes,391628000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2028,2028,Region,All Transit Modes,409793000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2029,2029,Region,All Transit Modes,427958000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2030,2030,Region,All Transit Modes,446123000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2031,2031,Region,All Transit Modes,467367000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2032,2032,Region,All Transit Modes,488611000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2033,2033,Region,All Transit Modes,509855000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2034,2034,Region,All Transit Modes,531099000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2035,2035,Region,All Transit Modes,552343000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2036,2036,Region,All Transit Modes,573587000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2037,2037,Region,All Transit Modes,594831000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2038,2038,Region,All Transit Modes,616075000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2039,2039,Region,All Transit Modes,637319000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2040,2040,Region,All Transit Modes,658559000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2041,2041,Region,All Transit Modes,667372000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2042,2042,Region,All Transit Modes,676185000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2043,2043,Region,All Transit Modes,684998000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2044,2044,Region,All Transit Modes,693811000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2045,2045,Region,All Transit Modes,702624000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2046,2046,Region,All Transit Modes,711437000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2047,2047,Region,All Transit Modes,720250000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2048,2048,Region,All Transit Modes,729063000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2049,2049,Region,All Transit Modes,737876000,PSRC Region,,,,Forecast,Annual Transit Boardings
12/1/2050,2050,Region,All Transit Modes,746686000,PSRC Region,,,,Forecast,Annual Transit Boardings
