date,data_year,geography,variable,estimate,geography_type,share,moe,share_moe,grouping,metric
12/1/2016,2016,Region,All Transit Modes,7487702,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2017,2017,Region,All Transit Modes,7764780,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2018,2018,Region,All Transit Modes,7986846,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2019,2019,Region,All Transit Modes,8168320,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2020,2020,Region,All Transit Modes,8349794,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2021,2021,Region,All Transit Modes,8531268,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2022,2022,Region,All Transit Modes,8712742,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2023,2023,Region,All Transit Modes,8894216,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2024,2024,Region,All Transit Modes,9075690,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2025,2025,Region,All Transit Modes,9257164,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2026,2026,Region,All Transit Modes,9438638,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2027,2027,Region,All Transit Modes,9620112,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2028,2028,Region,All Transit Modes,9801586,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2029,2029,Region,All Transit Modes,9983060,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2030,2030,Region,All Transit Modes,10164529.47,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2031,2031,Region,All Transit Modes,10380943,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2032,2032,Region,All Transit Modes,10597357,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2033,2033,Region,All Transit Modes,10813771,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2034,2034,Region,All Transit Modes,11030185,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2035,2035,Region,All Transit Modes,11246599,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2036,2036,Region,All Transit Modes,11463013,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2037,2037,Region,All Transit Modes,11679427,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2038,2038,Region,All Transit Modes,11895841,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2039,2039,Region,All Transit Modes,12112255,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2040,2040,Region,All Transit Modes,12328668.26,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2041,2041,Region,All Transit Modes,12425588,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2042,2042,Region,All Transit Modes,12522508,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2043,2043,Region,All Transit Modes,12619428,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2044,2044,Region,All Transit Modes,12716348,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2045,2045,Region,All Transit Modes,12813268,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2046,2046,Region,All Transit Modes,12910188,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2047,2047,Region,All Transit Modes,13007108,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2048,2048,Region,All Transit Modes,13104028,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2049,2049,Region,All Transit Modes,13200948,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
12/1/2050,2050,Region,All Transit Modes,13297865.32,PSRC Region,,,,Forecast,Annual Transit Revenue-Hours
